name	MAE	RMSE	AbsRel	d1	n_seeds	verdict	description
Bnode2_unet8_5chflip	0.8898	1.4314	0.5237	0.4541	2	best tier (~SOTA); global U-Net/GCC encoder wins	U-Net8 (pix2pix, 8 down) + 5ch RIR + L/R-flip aug [BASELINE]
Bnode2_unet8_5chflip_w20	0.8917	1.4285	0.5362	0.4536	2	best tier (~SOTA); global U-Net/GCC encoder wins	baseline + 20m audio window (later reflections)
Bnode2_gcc_unet8	0.8923	1.4247	0.5385	0.4525	3	best tier (~SOTA); global U-Net/GCC encoder wins	U-Net8 + GCC-PHAT lag map input (6ch, waveform ITD)
U_unet8_normal	0.8949	1.4179	0.5810	0.4563	1	competitive; near baseline (ViT / window / wave variants)	baseline + 3D surface-normal cosine aux loss (w=0.1)
B_unet8_5ch	0.8969	1.4356	0.5465	0.4539	3	competitive; near baseline (ViT / window / wave variants)	U-Net8 + 5ch RIR, no flip aug
A22_vit_aug	0.9046	1.4379	0.5445	0.4490	3	competitive; near baseline (ViT / window / wave variants)	pretrained ViT-B/16 encoder + aug
B_unet8nolog_aug	0.9050	1.4288	0.5724	0.4480	3	competitive; near baseline (ViT / window / wave variants)	U-Net8 + raw (non-log) magnitude spec + aug
Bnode2_cross_flip	0.9053	1.4276	0.5489	0.4449	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	ray-conditioned cross-attention (rays attend audio tokens), 2ch + flip
Bnode2_wave_unet8	0.9068	1.4551	0.5358	0.4529	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	U-Net8 + raw-waveform 1D-CNN global embedding (EchoDiffusion-lite)
A23_vit_sh	0.9081	1.4257	0.5687	0.4390	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	ViT encoder + spherical-harmonic ray PE
A23_vit_both	0.9082	1.4396	0.5504	0.4440	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	ViT encoder + Fourier+SH ray PE
C_raydptlite_5chflip	0.9097	1.4260	0.5651	0.4496	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	RayDPT-lite: 2-scale ray-conditioned DPT decoder, 5ch+flip
Bnode2_cross_unetenc5	0.9109	1.4310	0.5563	0.4455	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	cross-attention + U-Net token encoder, 5ch
C_raydpt_5chflip	0.9110	1.4198	0.5719	0.4444	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	RayDPT-full: multi-scale ray DPT + learned full-decode, 5ch+flip
B_cross_nolog	0.9122	1.4386	0.5369	0.4359	1	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	cross-attention + raw (non-log) spec
B_unet8nolog	0.9124	1.4417	0.5788	0.4480	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	U-Net8 + raw (non-log) spec, no aug
Bnode2_unet8nolog	0.9125	1.4540	0.5581	0.4447	3	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	U-Net8 + raw (non-log) spec
Bnode2_cross_5chflip	0.9126	1.4264	0.5604	0.4423	2	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	cross-attention, 5ch + flip
A3_crossSH	0.9170	1.4625	0.5119	0.4343	1	cross/RayDPT ceiling (~0.91); ray-conditioning does not beat U-Net	cross-attention + SH ray PE
A4_ffmask	0.9184	1.4604	0.5272	0.4421	1	below baseline; tips/PE/coarse-token tweaks do not help	cross-attention + far-field (>=10m) mask in loss
A5_crossMic	0.9188	1.4469	0.5453	0.4369	1	below baseline; tips/PE/coarse-token tweaks do not help	cross-attention + ear-axis (binaural) mic PE
Bnode2_cross_nolog	0.9201	1.4407	0.5632	0.4374	3	below baseline; tips/PE/coarse-token tweaks do not help	cross-attention + raw (non-log) spec
T_film	0.9211	1.4463	0.5615	0.4353	1	below baseline; tips/PE/coarse-token tweaks do not help	tip: FiLM (global audio -> gamma,beta) on ray tokens
A23_vit_fourier	0.9214	1.4446	0.5734	0.4383	3	below baseline; tips/PE/coarse-token tweaks do not help	ViT encoder + Fourier ray PE
T_mlpskip	0.9228	1.4454	0.5501	0.4344	1	below baseline; tips/PE/coarse-token tweaks do not help	tip: ray-coordinate re-injection skip-MLP
T_sector	0.9250	1.4550	0.5525	0.4356	1	below baseline; tips/PE/coarse-token tweaks do not help	tip: sector/near-balanced ray sampling
A4_cross	0.9258	1.4519	0.5527	0.4346	3	below baseline; tips/PE/coarse-token tweaks do not help	cross-attention base, 2ch
